Category,Product Name,MRP,Selling Price,Discount%,Tag,Rating Count,Brand Name,Rating Count (K/M)
Baby Care,fixderma shadow kids spf 30+ lotion,525,446,15,No Tag,1050,Fixderma,1.1K
Baby Care,kayanara natural bristle dry body brush,665,399,40,No Tag,6,Kayanara,6
Baby Care,whimsy safe & organic unicorn travel,2500,2000,20,No Tag,8,Whimsy,8
Baby Care,aveeno baby soothing relief face &,1300,1196,8,No Tag,534,Aveeno,534
Baby Care,bronson professional silicone body scrubber bath,325,110,66,No Tag,83,Bronson,83
Baby Care,tuco kids bye dull skin soap,400,320,20,No Tag,16,TuCo,16
Baby Care,fixderma shadow sunscreen spf 50 pa,600,540,10,No Tag,15,Fixderma,15
Baby Care,orimii face moisturizer ceramide,395,356,10,No Tag,28,Orimii,28
Baby Care,dove rich moisture baby lotion,215,166,23,No Tag,950,Dove,950
Baby Care,"colgate toothpaste kids (3-5 years),",260,228,12,No Tag,500,Colgate,500
Baby Care,nat habit pure virgin coconut baby,605,484,20,No Tag,325,Nat,325
Baby Care,himalaya baby lotion,400,336,16,No Tag,8266,Himalaya,8.3K
Baby Care,mamaearth mineral based sunscreen babies,150,150,0,No Tag,12582,Mamaearth,12.6K
Baby Care,forest essentials baby body powder dasapushpadi,220,825,23,No Tag,40,Forest,40
Baby Care,baby dove rich moisture shampoo,399,169,4,No Tag,148,Baby,148
Baby Care,sanfe flix breast roll shaper &,550,383,5,No Tag,774,Sanfe,774
Baby Care,aveeno baby daily moisture lotion |,435,525,17,No Tag,39,Aveeno,39
Baby Care,nat habit brahmi matsyakshi winter dasabuti,330,361,17,No Tag,75,Nat,75
Baby Care,nat habit pure rogan badam almond,549,274,18,No Tag,564,Nat,564
Baby Care,sebamed baby multi protect sun lotion,250,1670,15,No Tag,72,Sebamed,72
Baby Care,sunscoop kids 100% mineral sunscreen lotion,235,450,15,No Tag,150,SunScoop,150
Baby Care,cottsberry organic cotton baby wipes (dry),525,213,10,No Tag,14,Cottsberry,14
Baby Care,nat habit pure coconut oil,550,200,22,No Tag,386,Nat,386
Baby Care,sebamed baby protective facial cream,819,1670,8,No Tag,7295,Sebamed,7.3K
Baby Care,johnson's new no more tears baby,376,474,17,No Tag,9,Johnsons,9
